msa_name,state,pop_growth_score,job_growth_score,vacancy_rate_inv_score,hpi_growth_score,net_migration_score,msa_score,predicted_score
Cape Coral-Fort Myers,FL,3.3522658679006305,5.94725748586397,2.193289848876077,9.486288450293886,7.8480266261334455,5.765425655813602,3.606292247772217
Houston-Pasadena-The Woodlands,TX,3.279457806024564,4.970125573580023,8.81336455720858,4.679199973560603,6.461161486451072,5.640661879364968,3.293574571609497
El Paso,TX,3.1594552637639572,4.646299711442503,9.072426371071145,6.45481878334706,4.86673829865297,5.639947685655527,3.1138970851898193
Lubbock,TX,4.162987345190473,3.8445546587097934,8.12181564551004,4.770453733895847,7.278028198542901,5.635567916369811,4.122044086456299
Tallahassee,FL,2.8377937759365,4.572183863009086,7.4570152901272735,6.3510475478786015,6.819015671680907,5.607411229726473,3.0293853282928467
Pensacola-Ferry Pass-Brent,FL,3.2722930420630005,3.35851544918337,7.546386757690314,7.212437478088121,6.606216258713769,5.599169797147715,3.437793016433716
Dallas-Fort Worth-Arlington,TX,3.3521090844319685,5.847910581789819,9.427962393191052,0.0,8.933251218617329,5.5122466556060346,3.80596661567688
Dalton,GA,2.668754587342417,3.008423586040915,9.085028452883861,7.077800251741805,5.70640494784842,5.509282365171484,2.9380767345428467
Decatur,AL,3.118739802459128,3.104446055077268,8.135080143354799,7.261046455387226,5.9219560773625455,5.508253706728193,3.2400054931640625
Gainesville,FL,3.415928333730743,3.2364084093631327,7.827555267371594,6.892846188217379,6.1389485822108085,5.5023373561787325,3.4654200077056885
Billings,MT,3.2049859275613315,3.1324661034194246,9.02697982334795,6.397125235078316,5.732611772105456,5.498833772302496,3.2600486278533936
Warner Robins,GA,3.616363841556313,2.975170061167276,8.208235149166633,6.904408277157795,5.696053252266891,5.480046116262982,3.5719192028045654
Sebastian-Vero Beach-West Vero Corridor,FL,3.301147420075207,4.841108567122319,4.654060129687327,8.031008403454978,6.324623932071912,5.4303896904823485,3.383633852005005
Naples-Marco Island,FL,3.008883368653491,7.05122879627811,0.0,10.0,6.9737669689187065,5.406775826770062,3.3210060596466064
Sebring,FL,2.618463857100065,4.935628805882601,4.029983923236074,9.525156334085572,5.9216940091199755,5.406185385884858,3.0381057262420654
McAllen-Edinburg-Mission,TX,3.0222025169618782,5.005695539800385,7.202336656656698,6.469327004062582,5.1965511819277745,5.379222579881864,2.962999105453491
Mansfield,OH,3.1668682114356748,1.9708845820204448,8.828905862159552,6.4753688206616555,6.062293621258976,5.30086421950726,3.2848355770111084
